省份,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
辽宁,3.33,1.64,1.34,1.07,0.91,0.97,1.10,1.53,1.10,0.97,0.42,-0.34,-0.39,-0.03,0.26,-0.42,-0.18,-0.44,-1.00,-0.80,-3.43,-4.18,-4.96,-5.63
吉林,5.23,3.38,3.19,1.61,1.76,2.57,2.67,2.50,1.61,1.95,2.03,1.02,0.36,0.32,0.40,0.34,-0.05,0.26,0.36,-0.85,-2.97,-3.38,-4.07,-5.39
黑龙江,5.06,2.99,2.54,2.03,1.82,2.67,2.39,2.49,2.23,2.06,2.32,1.07,1.27,0.78,0.91,-0.60,-0.49,-0.41,-0.69,-1.01,-4.48,-5.11,-5.75,-5.10
广东,9.92,8.83,8.21,8.35,8.01,7.02,7.29,7.30,7.25,7.26,6.97,6.10,6.95,6.02,6.10,6.80,7.44,9.16,8.24,8.08,5.58,4.52,3.33,2.76
广西,8.03,7.73,7.00,7.29,7.20,8.16,8.34,8.20,8.70,8.53,8.65,7.67,7.89,7.93,7.86,7.90,7.87,8.92,8.16,7.17,4.90,2.88,1.43,0.42
贵州,14.24,11.33,10.75,9.04,8.73,7.38,7.26,6.68,6.72,6.96,7.41,6.38,6.31,5.90,5.80,5.80,6.50,7.10,7.05,6.70,6.53,4.98,3.71,2.88
